"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2517-P",59,1468.01311233826,"EWNNB","Houston","California","UK","Local Pumpkin Festival","1585 Q","1061 N",422,1505,1,"Peanut Pumpkin",665.879546816588,"Medium"
"2777-P",2,1482.82833465468,"RMAIS","New York","Texas","UK","Local Pumpkin Festival","1061 Z","1094 A",410,1432,-2,"One Too Many",672.59961861917,"Medium"
"2395-P",6,1477.26858587377,"QNXDM","New York","Texas","Canada","Regional Pumpkin Festival","1294 J","1367 U",417,1498,0,"Tiger Stripe",670.077758993031,"Medium"
"2154-P",13,1470.37954592854,"KFSHJ","Houston","California","USA","Local Pumpkin Festival","1139 B","1706 T",413,1453,-2,"Red Warty Thing",666.952943037249,"Medium"
"2280-P",62,1469.00045360811,"VNNWJ","Paris","Florida","Canada","Local Pumpkin Festival","1929 S","1867 Y",415,1465,3,"One Too Many",666.327397283178,"Medium"
"2454-P",49,1445.71384060197,"CPHFJ","Houston","Florida","UK","National Pumpkin Festival","1164 T","1958 X",407,1373,8,"Tiger Stripe",655.764767300448,"Medium"
"2259-P",55,1440.65660756081,"YNSLZ","Nottingham","New York","Canada","Local Pumpkin Festival","1708 J","1334 L",381,1202,15,"One Too Many",653.470844979669,"Medium"
"2305-P",43,1442.67582033295,"NRSNT","Chicago","California","Canada","Local Pumpkin Festival","1854 W","1910 G",378,1164,27,"Peanut Pumpkin",654.386744486518,"Medium"
"2912-P",74,1431.31982736383,"UMECH","Paris","Texas","UK","National Pumpkin Festival","1827 P","1155 A",390,1294,6,"Peanut Pumpkin",649.235752721949,"Medium"
"2082-P",7,1428.09074089136,"KAORD","Nottingham","New York","Canada","National Pumpkin Festival","1320 H","1057 C",405,1360,4,"Tiger Stripe",647.771063735968,"Medium"
"2398-P",69,1427.02577369846,"EZPOT","Houston","New York","Canada","Local Pumpkin Festival","1292 G","1225 J",382,1240,19,"One Too Many",647.28800274297,"Medium"
"2248-P",26,1410.39824810065,"VPLVL","Paris","Texas","Canada","Local Pumpkin Festival","1469 L","1527 K",387,1265,12,"Peanut Pumpkin",639.745883999823,"Medium"
"2394-P",5,1415.29214645084,"MHLYJ","Nottingham","Florida","Canada","National Pumpkin Festival","1077 G","1053 D",400,1354,2,"Tiger Stripe",641.965718951024,"Medium"
"2731-P",89,1398.05194525514,"NCHEE","Paris","New York","Canada","Local Pumpkin Festival","1897 M","1121 M",404,1377,1,"Red Warty Thing",634.145695231388,"Medium"
"2360-P",68,1392.02711826283,"VKHTN","New York","Florida","USA","National Pumpkin Festival","1957 I","1235 R",405,1358,2,"Red Warty Thing",631.41287967711,"Medium"
"2623-P",1,1394.64585590456,"HHDZW","Nottingham","Texas","UK","National Pumpkin Festival","1037 E","1611 B",400,1397,-2,"Red Warty Thing",632.600719090426,"Medium"
"2792-P",27,1399.20479810424,"NNQYR","Los Angeles","California","USA","National Pumpkin Festival","1014 A","1377 K",390,1260,9,"Peanut Pumpkin",634.668620487474,"Medium"
"2901-P",91,1371.64782307763,"JYKEM","Nottingham","Texas","Canada","National Pumpkin Festival","1251 N","1460 O",383,1242,15,"Peanut Pumpkin",622.168986875121,"Medium"
"2107-P",25,1359.05554203317,"GLEMV","Nottingham","California","Canada","National Pumpkin Festival","1456 K","1741 A",372,1161,21,"Red Warty Thing",616.457224272458,"Medium"
"2563-P",1,1364.06005854998,"MNAQW","Nottingham","New York","UK","Regional Pumpkin Festival","1372 J","1976 P",398,1340,3,"Tiger Stripe",618.727234780023,"Medium"
"2501-P",16,1358.1291391449,"RGAFZ","Houston","New York","Canada","Local Pumpkin Festival","1106 C","1415 M",384,1253,11,"Peanut Pumpkin",616.037014990797,"Medium"
"2288-P",33,1354.25161939114,"APDAN","New York","New York","USA","Local Pumpkin Festival","1024 K","1269 Q",404,1417,-8,"Tiger Stripe",614.278201615967,"Medium"
"2255-P",62,1332.77711089514,"THBVY","Houston","California","UK","Regional Pumpkin Festival","1321 W","1611 U",409,1393,-3,"One Too Many",604.53752841268,"Medium"
"2428-P",55,1331.32591000758,"GDGRV","New York","Florida","Canada","Local Pumpkin Festival","1610 D","1962 C",391,1261,7,"Red Warty Thing",603.879274762745,"Medium"
"2562-P",51,1317.17472493835,"JGLEQ","Chicago","Texas","Canada","Regional Pumpkin Festival","1436 M","1794 Y",391,1266,3,"Peanut Pumpkin",597.460405188883,"Medium"
"2404-P",88,1325.61676408816,"XINCJ","Chicago","Florida","UK","National Pumpkin Festival","1706 Q","1903 W",399,1378,-6,"One Too Many",601.28964973448,"Medium"
"2574-P",49,1327.67246567551,"JLSWJ","New York","New York","Canada","National Pumpkin Festival","1295 B","1165 J",392,1277,0,"One Too Many",602.222100289498,"Medium"
"2258-P",3,1313.85395834409,"DGMGH","Houston","Texas","USA","National Pumpkin Festival","1121 W","1126 U",394,1272,6,"Tiger Stripe",595.954130799176,"Medium"
"2241-P",35,1326.42243419494,"WENYM","Nottingham","Texas","Canada","Regional Pumpkin Festival","1892 O","1435 D",389,1286,-1,"Red Warty Thing",601.655095547654,"Medium"
"2012-P",69,1324.14267494623,"IFFXQ","Paris","California","USA","National Pumpkin Festival","1599 T","1183 Z",388,1230,4,"Peanut Pumpkin",600.621014146998,"Medium"
"2968-P",45,1309.33948074561,"IKMLJ","Nottingham","New York","USA","National Pumpkin Festival","1373 V","1799 B",384,1202,7,"Tiger Stripe",593.906398205969,"Medium"
"2780-P",45,1317.97391039133,"EBEDS","Houston","Florida","USA","Local Pumpkin Festival","1585 V","1182 G",390,1270,0,"Red Warty Thing",597.822909612571,"Medium"
"2533-P",13,1303.6585245505,"JVAFG","Chicago","Florida","Canada","Local Pumpkin Festival","1567 W","1480 F",399,1344,-1,"Peanut Pumpkin",591.329559821563,"Medium"
"2826-P",43,1313.83799279854,"LLYIM","Houston","California","Canada","Local Pumpkin Festival","1585 G","1661 R",401,1367,-1,"Tiger Stripe",595.946888949531,"Medium"
"2466-P",63,1299.54901929013,"ZXGKY","Los Angeles","California","UK","Local Pumpkin Festival","1429 E","1796 B",388,1291,-2,"Peanut Pumpkin",589.465519590988,"Medium"
"2742-P",15,1297.17734874263,"NMVWX","Paris","New York","UK","National Pumpkin Festival","1802 X","1840 A",410,1481,-7,"One Too Many",588.389747926488,"Medium"
"2741-P",77,1291.29857597593,"VWNWM","Paris","Texas","Canada","Local Pumpkin Festival","1846 V","1368 J",391,1293,-1,"Red Warty Thing",585.723181454548,"Medium"
"2271-P",24,1288.8818009235,"CPDZO","Los Angeles","Florida","USA","National Pumpkin Festival","1945 W","1433 M",386,1250,7,"Red Warty Thing",584.626950730757,"Medium"
"2293-P",37,1283.64944825135,"HHELK","Chicago","Texas","USA","Regional Pumpkin Festival","1912 B","1228 U",389,1235,5,"One Too Many",582.253595481523,"Medium"
"2436-P",100,1298.20040264167,"KFRBR","Paris","Texas","USA","Regional Pumpkin Festival","1929 P","1208 C",383,1195,10,"Red Warty Thing",588.853797369189,"Medium"
"2778-P",77,1295.80983049031,"VVCCX","Nottingham","Florida","USA","Regional Pumpkin Festival","1902 C","1566 Q",379,1172,10,"Peanut Pumpkin",587.7694520814,"Medium"
"2123-P",73,1292.3867200464,"ZTDGU","Nottingham","New York","Canada","Regional Pumpkin Festival","1389 A","1914 E",402,1338,1,"Tiger Stripe",586.216755302374,"Medium"
"2825-P",58,1284.45863514487,"SZDGD","Nottingham","New York","Canada","Regional Pumpkin Festival","1583 V","1758 E",391,1241,4,"Peanut Pumpkin",582.620636482325,"Medium"
"2450-P",24,1272.92516007088,"ERFPK","Nottingham","California","USA","Regional Pumpkin Festival","1217 J","1788 N",393,1298,0,"Red Warty Thing",577.38914018918,"Medium"
"2593-P",98,1271.77605020721,"KFIKS","Paris","New York","USA","Regional Pumpkin Festival","1131 P","1122 G",388,1217,1,"Peanut Pumpkin",576.867912722725,"Medium"
"2394-P",87,1266.78474204894,"LSHXP","Chicago","Texas","Canada","National Pumpkin Festival","1471 K","1073 W",374,1167,6,"Red Warty Thing",574.603893425818,"Medium"
"2281-P",6,1262.74455396831,"HMBDB","Los Angeles","Florida","UK","Regional Pumpkin Festival","1520 L","1051 G",398,1363,-12,"One Too Many",572.771294939079,"Medium"
"2772-P",23,1266.43323689606,"DFZOV","Chicago","Texas","USA","Regional Pumpkin Festival","1440 N","1175 Y",376,1174,11,"Peanut Pumpkin",574.444453370456,"Medium"
"2156-P",28,1269.79976746812,"YPJEG","Paris","New York","Canada","National Pumpkin Festival","1358 N","1122 J",371,1101,11,"Peanut Pumpkin",575.971485951316,"Medium"
"2150-P",30,1255.70524464455,"XKCBI","Chicago","Texas","USA","National Pumpkin Festival","1686 O","1711 Z",380,1142,10,"Red Warty Thing",569.578317939749,"Medium"
"2989-P",93,1254.09957142547,"YUMKQ","Chicago","Florida","Canada","National Pumpkin Festival","1563 L","1841 R",395,1269,-5,"Tiger Stripe",568.849996818862,"Medium"
"2198-P",58,1257.9351183977,"KFWFQ","Chicago","Florida","Canada","Local Pumpkin Festival","1406 K","1846 I",380,1190,8,"One Too Many",570.589771660242,"Medium"
"2958-P",68,1240.63509860728,"OVNXV","Nottingham","Florida","UK","Local Pumpkin Festival","1580 V","1754 R",373,1144,4,"Peanut Pumpkin",562.74261468246,"Medium"
"2084-P",95,1232.55250902008,"UDWSI","New York","Florida","USA","Regional Pumpkin Festival","1364 Y","1546 P",382,1198,7,"Peanut Pumpkin",559.076413715866,"Medium"
"2093-P",92,1243.28185768984,"XSWPI","Paris","California","UK","Regional Pumpkin Festival","1190 N","1756 M",381,1228,-4,"Peanut Pumpkin",563.943164407538,"Medium"
"2273-P",8,1235.71354641151,"UNVPT","Nottingham","Florida","UK","National Pumpkin Festival","1592 T","1453 R",386,1280,-2,"Red Warty Thing",560.5102361579,"Medium"
"2174-P",44,1225.53808144107,"NWTMH","Los Angeles","California","UK","Local Pumpkin Festival","1029 C","1411 M",405,1376,-10,"Red Warty Thing",555.89472288611,"Medium"
"2019-P",44,1217.92055610828,"CDGEV","Paris","California","USA","Regional Pumpkin Festival","1250 P","1461 W",376,1133,9,"Tiger Stripe",552.439471516873,"Medium"
"2845-P",18,1218.24695587996,"EAAEJ","Nottingham","Texas","Canada","National Pumpkin Festival","1507 R","1507 S",376,1114,11,"One Too Many",552.587523962878,"Medium"
"2238-P",28,1214.25645448267,"IUNNY","Houston","New York","UK","Local Pumpkin Festival","1678 Y","1136 O",388,1265,-10,"One Too Many",550.777462976593,"Medium"
"2350-P",94,1203.19787418284,"NQYKD","New York","California","Canada","National Pumpkin Festival","1526 B","1699 W",389,1225,0,"Red Warty Thing",545.761375329554,"Medium"
"2480-P",72,1218.28861504421,"BYOKT","New York","New York","USA","National Pumpkin Festival","1590 T","1069 H",369,1095,6,"Tiger Stripe",552.606420241919,"Medium"
"2801-P",88,1212.76179050654,"VQYUU","New York","Florida","USA","Regional Pumpkin Festival","1176 R","1153 S",374,1097,11,"Tiger Stripe",550.099494801306,"Medium"
"2855-P",28,1216.95776144881,"VIXXU","New York","New York","Canada","Local Pumpkin Festival","1487 P","1528 H",375,1150,6,"One Too Many",552.002755205459,"Medium"
"2187-P",32,1207.57810398936,"MUFED","Paris","Texas","Canada","National Pumpkin Festival","1505 B","1025 C",369,1133,9,"Peanut Pumpkin",547.748214148642,"Medium"
"2711-P",22,1201.54332820605,"EFDQO","Houston","Texas","Canada","Regional Pumpkin Festival","1778 H","1045 C",394,1285,-8,"One Too Many",545.010885898672,"Medium"
"2890-P",44,1195.78817185387,"XWBVM","Chicago","California","USA","National Pumpkin Festival","1380 B","1348 S",398,1299,-4,"Red Warty Thing",542.400390889164,"Medium"
"2622-P",22,1190.66448863875,"JFUMY","Paris","Florida","UK","Local Pumpkin Festival","1890 T","1913 I",379,1168,4,"Tiger Stripe",540.076327276489,"Medium"
"2274-P",2,1184.94475743268,"COLUM","Houston","New York","USA","Local Pumpkin Festival","1775 U","1991 S",386,1282,-6,"One Too Many",537.481900842963,"Medium"
"2568-P",43,1187.85275427904,"GHNJB","Los Angeles","Texas","UK","National Pumpkin Festival","1114 V","1769 E",401,1390,-17,"One Too Many",538.800946024457,"Medium"
"2042-P",20,1179.99346607905,"KXOGC","New York","Florida","USA","Regional Pumpkin Festival","1245 B","1991 J",378,1188,-2,"Tiger Stripe",535.23603286331,"Medium"
"2886-P",33,1194.94664494414,"EOJYT","Los Angeles","California","USA","National Pumpkin Festival","1319 G","1523 K",362,1084,15,"Red Warty Thing",542.01868070376,"Medium"
"2307-P",36,1188.85105540697,"FKWBZ","New York","Florida","UK","National Pumpkin Festival","1560 M","1648 N",385,1258,-5,"Peanut Pumpkin",539.253767799047,"Medium"
"2878-P",38,1178.02017627098,"XUGXT","Nottingham","Texas","Canada","National Pumpkin Festival","1773 X","1970 H",385,1209,1,"Red Warty Thing",534.34096366257,"Medium"
"2870-P",98,1173.3400397338,"AFHIC","Chicago","California","USA","Regional Pumpkin Festival","1909 Z","1993 L",371,1110,10,"Peanut Pumpkin",532.218089438747,"Medium"
"2722-P",93,1168.28524586931,"WGMXY","Chicago","New York","UK","Regional Pumpkin Festival","1398 V","1802 U",354,997,15,"Peanut Pumpkin",529.925273509892,"Medium"
"2242-P",55,1171.34256378841,"VLQYR","New York","Texas","USA","National Pumpkin Festival","1188 E","1567 O",371,1116,1,"One Too Many",531.31204959066,"Medium"
"2485-P",10,1168.09032897092,"KPUVJ","New York","Florida","USA","Local Pumpkin Festival","1334 M","1838 Q",374,1159,-4,"Red Warty Thing",529.836860692001,"Medium"
"2464-P",53,1168.44616326224,"MRSKR","Chicago","Florida","USA","National Pumpkin Festival","1041 H","1968 F",386,1264,-8,"Peanut Pumpkin",529.998264411527,"Medium"
"2991-P",49,1160.73973612767,"EQVVC","Nottingham","Texas","UK","Regional Pumpkin Festival","1734 N","1282 Z",374,1114,2,"Peanut Pumpkin",526.502687863323,"Medium"
"2790-P",70,1154.46815877501,"ICOED","Chicago","California","USA","Local Pumpkin Festival","1309 Q","1525 T",373,1165,3,"Tiger Stripe",523.657948228293,"Medium"
"2829-P",24,1135.32505918201,"PYLPW","New York","Texas","UK","National Pumpkin Festival","1142 U","1634 W",390,1278,-16,"Red Warty Thing",514.974784314758,"Medium"
"2639-P",75,1134.3294299785,"OFTHC","Chicago","Florida","UK","Local Pumpkin Festival","1010 X","1912 L",377,1161,4,"Tiger Stripe",514.523174504699,"Medium"
"2763-P",55,1135.29326108098,"ZMFCN","Chicago","Florida","UK","Regional Pumpkin Festival","1753 F","1366 D",374,1137,2,"Red Warty Thing",514.960360938751,"Medium"
"2037-P",2,1149.54247537237,"IFADP","Paris","California","USA","Local Pumpkin Festival","1067 S","1081 U",366,1041,9,"Red Warty Thing",521.423695819818,"Medium"
"2715-P",50,1136.10376952775,"XWNNJ","Chicago","California","UK","Local Pumpkin Festival","1551 E","1625 A",385,1232,-9,"Peanut Pumpkin",515.328001386025,"Medium"
"2385-P",42,1126.86511931568,"VADCR","New York","Florida","Canada","Regional Pumpkin Festival","1095 V","1000 H",371,1105,5,"Tiger Stripe",511.137420140734,"Medium"
"2277-P",89,1117.81000887789,"ONEUM","Nottingham","New York","Canada","Local Pumpkin Festival","1012 H","1523 P",374,1181,-10,"Red Warty Thing",507.030091136642,"Medium"
"2823-P",3,1115.78800931573,"FKHCH","New York","Texas","Canada","Regional Pumpkin Festival","1467 V","1783 U",370,1088,2,"Red Warty Thing",506.112927563104,"Medium"
"2535-P",34,1110.18841277771,"HFZBL","Paris","California","Canada","National Pumpkin Festival","1169 G","1857 O",374,1147,-5,"Red Warty Thing",503.572993298378,"Medium"
"2763-P",83,1103.97159744985,"SUNGX","New York","New York","Canada","Regional Pumpkin Festival","1677 V","1129 I",364,1089,1,"Red Warty Thing",500.753093299965,"Medium"
"2347-P",14,1104.92032111492,"RCBXJ","Chicago","Florida","Canada","Regional Pumpkin Festival","1561 U","1301 R",365,1080,6,"Tiger Stripe",501.183427115678,"Medium"
"2145-P",54,1103.5916214874,"NVTVH","Los Angeles","Florida","UK","National Pumpkin Festival","1022 N","1704 J",373,1092,-4,"Red Warty Thing",500.580739102613,"Medium"
"2267-P",86,1108.1609672131,"MQALY","Los Angeles","Florida","Canada","National Pumpkin Festival","1556 X","1522 L",353,975,12,"One Too Many",502.653359459683,"Medium"
"2541-P",37,1108.29259184934,"YZZQJ","Chicago","New York","Canada","Regional Pumpkin Festival","1697 A","1835 N",362,997,8,"Red Warty Thing",502.713063390386,"Medium"
"2883-P",65,1097.940493498,"NJCZY","Los Angeles","New York","USA","National Pumpkin Festival","1001 Z","1042 E",346,908,24,"Peanut Pumpkin",498.017430564726,"Light"
"2616-P",39,1080.43158083316,"GTVBY","Houston","Florida","UK","Local Pumpkin Festival","1384 D","1526 N",396,1313,-17,"Peanut Pumpkin",490.075521372959,"Light"
"2700-P",12,1089.27493517194,"FHRUE","Nottingham","New York","USA","Regional Pumpkin Festival","1136 J","1502 D",387,1209,-7,"One Too Many",494.086799426236,"Light"
"2642-P",31,1081.1863524653,"IAMKN","Paris","Florida","UK","National Pumpkin Festival","1592 W","1586 E",352,965,17,"Red Warty Thing",490.417880026392,"Light"
"2816-P",2,1081.73661719449,"WTURI","Chicago","Texas","USA","Local Pumpkin Festival","1080 R","1530 R",359,1016,6,"Red Warty Thing",490.667475909031,"Light"
"2777-P",1,1081.15831692889,"WXVHB","Houston","Texas","Canada","National Pumpkin Festival","1848 L","1377 E",336,874,20,"One Too Many",490.405163320988,"Light"
"2504-P",90,1068.29255000036,"CPJTL","Houston","New York","UK","Local Pumpkin Festival","1062 A","1990 L",369,1077,-1,"One Too Many",484.569349608008,"Light"
"2474-P",63,1075.42872535121,"WHLRN","Paris","California","Canada","National Pumpkin Festival","1657 W","1736 G",1,4,5,"Tiger Stripe",487.806264298133,"Light"
"2250-P",93,1062.11186349206,"RLFBG","Los Angeles","New York","Canada","Local Pumpkin Festival","1729 I","1262 W",360,991,4,"Red Warty Thing",481.765837366479,"Light"
"2802-P",61,1064.79428457655,"CKOMR","Houston","New York","Canada","Local Pumpkin Festival","1288 V","1027 A",376,1191,-12,"Tiger Stripe",482.982563103532,"Light"
"2897-P",49,1067.15947252419,"IRHOM","Paris","California","Canada","Local Pumpkin Festival","1999 N","1166 B",360,997,5,"Tiger Stripe",484.055394310197,"Light"
"2067-P",60,1067.27509757578,"RCFHS","Houston","Texas","USA","Regional Pumpkin Festival","1133 N","1541 T",380,1171,-14,"Red Warty Thing",484.107840951381,"Light"
"2721-P",76,1054.69593439978,"THDEQ","Chicago","Florida","Canada","Regional Pumpkin Festival","1256 P","1670 K",351,926,18,"Red Warty Thing",478.402028513759,"Light"
"2036-P",32,1053.68345584627,"ZUHQV","Houston","New York","USA","Regional Pumpkin Festival","1179 N","1719 J",370,1086,-1,"One Too Many",477.942775967101,"Light"
"2762-P",6,1048.42419156805,"NMBLN","Paris","California","UK","Local Pumpkin Festival","1076 K","1986 G",374,1122,-5,"One Too Many",475.557213818684,"Light"
"2996-P",30,1054.72400783468,"NMLUG","Los Angeles","Texas","UK","Local Pumpkin Festival","1961 Z","1496 V",363,1045,-3,"Red Warty Thing",478.414762409631,"Light"
"2564-P",36,1052.93759128544,"TRXML","Paris","Texas","Canada","Local Pumpkin Festival","1939 Q","1193 X",366,1049,-1,"One Too Many",477.604457493256,"Light"
"2816-P",24,1035.11934436951,"ZIAHD","New York","Florida","UK","National Pumpkin Festival","1487 H","1612 N",357,1017,1,"Tiger Stripe",469.522236645411,"Light"
"2629-P",1,1033.11718600988,"FGTOO","Nottingham","Texas","UK","Local Pumpkin Festival","1125 W","1874 P",370,1061,-7,"Peanut Pumpkin",468.614072889954,"Light"
"2929-P",35,1032.43494012207,"SQGOG","Paris","New York","USA","Regional Pumpkin Festival","1722 I","1081 B",3,3,-3,"Tiger Stripe",468.304611360777,"Light"
"2992-P",81,1037.38029996306,"ZOZBS","Houston","California","Canada","Local Pumpkin Festival","1627 U","1081 F",339,900,19,"Tiger Stripe",470.547788851554,"Light"
"2473-P",9,1029.59344949573,"LJPZQ","Chicago","New York","UK","National Pumpkin Festival","1763 Y","1286 F",359,1029,4,"One Too Many",467.015732893245,"Light"
"2670-P",79,1039.64582445845,"IUZKJ","New York","Florida","USA","National Pumpkin Festival","1534 G","1412 J",356,985,9,"Tiger Stripe",471.575413476712,"Light"
"2820-P",93,1030.51658754237,"NNTNL","Chicago","New York","Canada","Regional Pumpkin Festival","1566 N","1711 F",362,1032,-3,"Tiger Stripe",467.434461267656,"Light"
"2900-P",59,1030.44422524888,"GUDVB","Los Angeles","California","UK","Regional Pumpkin Festival","1415 J","1087 J",367,1090,-5,"Peanut Pumpkin",467.401638283454,"Light"
"2730-P",18,1020.77289840169,"QKRZC","New York","Texas","UK","Regional Pumpkin Festival","1622 E","1563 C",341,913,13,"One Too Many",463.014798217793,"Light"
"2131-P",95,1024.80452224985,"XAAXU","Nottingham","Florida","Canada","National Pumpkin Festival","1257 J","1737 R",354,961,1,"Tiger Stripe",464.843512034026,"Light"
"2524-P",23,1021.53831763938,"NZPST","Los Angeles","Texas","UK","National Pumpkin Festival","1809 U","1092 T",359,970,10,"Red Warty Thing",463.36198654386,"Light"
"2747-P",88,1020.83013952523,"GYUNO","New York","New York","USA","Regional Pumpkin Festival","1145 X","1380 H",371,1113,-11,"Tiger Stripe",463.040762354682,"Light"
"2952-P",99,1013.62858339865,"VVIDL","Chicago","Florida","UK","Regional Pumpkin Festival","1345 G","1659 T",344,933,10,"Tiger Stripe",459.774191443535,"Light"
"2094-P",50,1008.83635361493,"IZDGF","Nottingham","Florida","UK","Local Pumpkin Festival","1585 D","1899 W",354,968,0,"One Too Many",457.600472578353,"Light"
"2911-P",66,999.811117027886,"UOUNQ","New York","Florida","UK","Local Pumpkin Festival","1522 T","1604 X",372,1134,-13,"Peanut Pumpkin",453.506694125026,"Light"
"2302-P",76,1005.04951244686,"SEWND","Houston","Texas","UK","National Pumpkin Festival","1757 B","1606 V",358,1004,-3,"Red Warty Thing",455.882790318115,"Light"
"2377-P",99,991.775765719824,"LXJZU","Chicago","Florida","UK","Local Pumpkin Festival","1771 D","1354 H",368,1105,-13,"Tiger Stripe",449.86192008142,"Light"
"2162-P",38,1003.12884276174,"MUDVS","New York","California","USA","Local Pumpkin Festival","1041 K","1865 X",352,937,2,"One Too Many",455.011589203655,"Light"
"2030-P",12,993.725538279861,"LDJJI","Nottingham","California","UK","Local Pumpkin Festival","1856 S","1621 N",362,1024,0,"One Too Many",450.746322037888,"Light"
"2556-P",79,986.597080959007,"TOCRG","New York","New York","USA","Regional Pumpkin Festival","1937 I","1520 P",357,993,-3,"One Too Many",447.512908187278,"Light"
"2907-P",6,993.760759680532,"KOGOK","Houston","Florida","UK","National Pumpkin Festival","1884 H","1715 A",357,1000,-2,"Red Warty Thing",450.762298196493,"Light"
"2247-P",49,987.165844617411,"AICVH","Paris","Florida","Canada","Local Pumpkin Festival","1062 X","1686 J",349,945,10,"Tiger Stripe",447.770895043063,"Light"
